,메뉴명,가격
0,[행사] 숯불직화구이 덮밥,"4,900"
1,[행사] 진달래,"6,500"
2,[행사] 시골제육 두부강된장 비빔밥,"4,300"
3,[행사] 소불고기 감초고추장 비빔밥,"4,500"
4,[행사] 동백,"5,100"
5,[행사] 새치 고기고기,"5,900"
6,[행사] 빅치킨마요 김치 부대찌개 정식,"6,500"
7,[행사] 한입 족발 도시락,"7,200"
8,[행사] 스팸 김치볶음밥,"3,900"
9,[행사] 1993 왕돈까스,"7,900"
10,[행사] 토핑 - 토네이도 소세지,"1,000"
11,[행사] 토핑 - 스팸,800
12,[행사] 토핑 - 치킨 2조각,"1,200"
13,매화(순살 고등어 간장구이),"10,000"
14,진달래,"7,500"
15,개나리(순살 고등어 간장구이),"8,000"
16,돈까스도련님고기고기,"6,000"
17,탕수육도련님고기고기,"5,800"
18,새치 고기고기,"6,700"
19,돈치 고기고기,"5,800"
20,오븐구이 오리도시락,"6,900"
21,숯불직화구이,"6,500"
22,소불고기,"5,400"
23,메가치킨제육,"7,000"
24,칠리 찹쌀탕수육도련님,"4,200"
25,동백,"5,800"
26,치킨제육,"4,700"
27,돈까스도련님,"4,500"
28,제육볶음,"4,200"
29,돈치스팸 도시락,"4,900"
30,제육 김치찌개 정식,"8,200"
31,제육 김치 부대찌개 정식,"8,500"
32,돈치스팸 김치 부대찌개 정식,"8,500"
33,빅치킨마요 김치 부대찌개 정식,"7,500"
34,치킨마요 김치 부대찌개 정식,"6,900"
35,빅치킨마요 김치찌개 정식,"7,000"
36,치킨마요 김치찌개 정식,"6,500"
37,메가스팸마요,"5,600"
38,스팸마요,"3,700"
39,메가치킨마요,"5,800"
40,왕치킨마요,"4,800"
41,빅치킨마요,"4,100"
42,치킨마요,"3,500"
43,참치마요,"3,200"
44,돈치마요,"3,800"
45,돈까스 카레,"4,500"
46,스팸 김치볶음밥,"4,700"
47,김치볶음밥,"3,900"
48,스팸철판볶음밥,"4,500"
49,소불고기 철판볶음밥,"4,700"
50,나시고랭,"6,000"
51,묵은지 김치찌개,"4,500"
52,김치 부대찌개,"5,800"
53,숯불직화구이 덮밥,"5,900"
54,마파두부 덮밥,"5,000"
55,왕카레돈까스덮밥,"5,900"
56,새우돈까스 덮밥,"4,100"
57,돈까스 덮밥,"4,000"
58,열무 감초고추장 비빔밥,"4,500"
59,열무 두부강된장 비빔밥,"4,900"
60,소불고기 감초고추장 비빔밥,"5,200"
61,시골제육 두부강된장 비빔밥,"5,000"
62,참치야채 감초고추장,"3,300"
63,튼튼도시락,"5,000"
64,토네이도 소세지 파스타,"5,500"
65,트리플 치즈 파스타,"5,500"
66,토마토 미트 파스타,"4,500"
67,반찬 계란말이,"2,500"
68,반찬 묵은지김치찌개,"4,000"
69,반찬 카레,"2,800"
70,반찬 순살 고등어데리야끼,"3,600"
71,반찬 김치 부대찌개,"4,500"
72,반찬 치킨,"3,600"
73,반찬 고기고기,"3,400"
74,반찬 돈까스 도련님,"3,800"
75,반찬 제육볶음,"3,200"
76,반찬 토네이도 소세지,"2,600"
77,반찬 반달돈까스,"2,800"
78,뉴 감자고로케,"2,700"
79,미니 찹쌀핫도그,"2,500"
80,미니 찹쌀탕수육,"2,200"
81,케이준후라이,"1,700"
82,고메이 크림 고로케,"3,500"
83,후라이드 순살(소)_스리라차마요소스,"4,000"
84,후라이드 순살(중),"7,500"
85,후라이드 순살(소)_양념치킨소스,"4,000"
86,후라이드 순살(소)_케이준소스,"4,000"
87,오리지널 닭강정(중),"8,000"
88,오리지널 닭강정(소),"3,400"
89,무생채,400
90,열무김치,500
91,오징어젓갈,400
92,오이지무침,700
93,한솥 두부강된장소스,"1,800"
94,한솥 감초볶음고추장소스,500
95,볶음김치,400
96,김치,300
97,무말랭이 무침,300
98,한솥밥,"1,000"
99,현미밥,"1,700"
100,리얼 티라미수 찰떡,"1,500"
101,리얼꿀 미니호떡,"2,200"
